sparql,template_name,variables,answer,question
"
ASK {
    ?zoning :permitsUse ""auto body shops"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'auto body shops', 'zoning': 'FI2'}",True,Are auto body shops allowed in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""auto body shops"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'auto body shops', 'zoning': 'FI2'}",True,Are auto body shops permitted in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""auto body shops"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'auto body shops', 'zoning': 'FI3'}",True,Are auto body shops allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""auto body shops"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'auto body shops', 'zoning': 'FI3'}",True,Are auto body shops permitted in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""furniture assembly"" ;
            rdfs:label ""FI1"" .
}
",template_use_2var_yn_answer,"{'use': 'furniture assembly', 'zoning': 'FI1'}",True,Are furniture assembly allowed in a FI1 zoning district?
"
ASK {
    ?zoning :permitsUse ""furniture assembly"" ;
            rdfs:label ""FI1"" .
}
",template_use_2var_yn_answer,"{'use': 'furniture assembly', 'zoning': 'FI1'}",True,Are furniture assembly permitted in a FI1 zoning district?
"
ASK {
    ?zoning :permitsUse ""furniture assembly"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'furniture assembly', 'zoning': 'FI2'}",True,Are furniture assembly allowed in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""furniture assembly"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'furniture assembly', 'zoning': 'FI2'}",True,Are furniture assembly permitted in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""furniture assembly"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'furniture assembly', 'zoning': 'FI3'}",True,Are furniture assembly allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""furniture assembly"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'furniture assembly', 'zoning': 'FI3'}",True,Are furniture assembly permitted in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""dry cleaning plants"" ;
            rdfs:label ""FI1"" .
}
",template_use_2var_yn_answer,"{'use': 'dry cleaning plants', 'zoning': 'FI1'}",True,Are dry cleaning plants allowed in a FI1 zoning district?
"
ASK {
    ?zoning :permitsUse ""dry cleaning plants"" ;
            rdfs:label ""FI1"" .
}
",template_use_2var_yn_answer,"{'use': 'dry cleaning plants', 'zoning': 'FI1'}",True,Are dry cleaning plants permitted in a FI1 zoning district?
"
ASK {
    ?zoning :permitsUse ""dry cleaning plants"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'dry cleaning plants', 'zoning': 'FI2'}",True,Are dry cleaning plants allowed in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""dry cleaning plants"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'dry cleaning plants', 'zoning': 'FI2'}",True,Are dry cleaning plants permitted in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""dry cleaning plants"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'dry cleaning plants', 'zoning': 'FI3'}",True,Are dry cleaning plants allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""dry cleaning plants"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'dry cleaning plants', 'zoning': 'FI3'}",True,Are dry cleaning plants permitted in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""machine shops"" ;
            rdfs:label ""FI1"" .
}
",template_use_2var_yn_answer,"{'use': 'machine shops', 'zoning': 'FI1'}",True,Are machine shops allowed in a FI1 zoning district?
"
ASK {
    ?zoning :permitsUse ""machine shops"" ;
            rdfs:label ""FI1"" .
}
",template_use_2var_yn_answer,"{'use': 'machine shops', 'zoning': 'FI1'}",True,Are machine shops permitted in a FI1 zoning district?
"
ASK {
    ?zoning :permitsUse ""machine shops"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'machine shops', 'zoning': 'FI2'}",True,Are machine shops allowed in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""machine shops"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'machine shops', 'zoning': 'FI2'}",True,Are machine shops permitted in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""machine shops"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'machine shops', 'zoning': 'FI3'}",True,Are machine shops allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""machine shops"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'machine shops', 'zoning': 'FI3'}",True,Are machine shops permitted in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""boat storage yards"" ;
            rdfs:label ""FI1"" .
}
",template_use_2var_yn_answer,"{'use': 'boat storage yards', 'zoning': 'FI1'}",True,Are boat storage yards allowed in a FI1 zoning district?
"
ASK {
    ?zoning :permitsUse ""boat storage yards"" ;
            rdfs:label ""FI1"" .
}
",template_use_2var_yn_answer,"{'use': 'boat storage yards', 'zoning': 'FI1'}",True,Are boat storage yards permitted in a FI1 zoning district?
"
ASK {
    ?zoning :permitsUse ""boat storage yards"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'boat storage yards', 'zoning': 'FI2'}",True,Are boat storage yards allowed in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""boat storage yards"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'boat storage yards', 'zoning': 'FI2'}",True,Are boat storage yards permitted in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""boat storage yards"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'boat storage yards', 'zoning': 'FI3'}",True,Are boat storage yards allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""boat storage yards"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'boat storage yards', 'zoning': 'FI3'}",True,Are boat storage yards permitted in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""stadiums and arenas"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'stadiums and arenas', 'zoning': 'FI2'}",True,Are stadiums and arenas allowed in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""stadiums and arenas"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'stadiums and arenas', 'zoning': 'FI2'}",True,Are stadiums and arenas permitted in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""stadiums and arenas"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'stadiums and arenas', 'zoning': 'FI3'}",True,Are stadiums and arenas allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""stadiums and arenas"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'stadiums and arenas', 'zoning': 'FI3'}",True,Are stadiums and arenas permitted in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""indoor swap meets"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'indoor swap meets', 'zoning': 'FI2'}",True,Are indoor swap meets allowed in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""indoor swap meets"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'indoor swap meets', 'zoning': 'FI2'}",True,Are indoor swap meets permitted in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""indoor swap meets"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'indoor swap meets', 'zoning': 'FI3'}",True,Are indoor swap meets allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""indoor swap meets"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'indoor swap meets', 'zoning': 'FI3'}",True,Are indoor swap meets permitted in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""breweries"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'breweries', 'zoning': 'FI2'}",True,Are breweries allowed in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""breweries"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'breweries', 'zoning': 'FI2'}",True,Are breweries permitted in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""breweries"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'breweries', 'zoning': 'FI3'}",True,Are breweries allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""breweries"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'breweries', 'zoning': 'FI3'}",True,Are breweries permitted in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""liquid fertilizer manufacturing"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'liquid fertilizer manufacturing', 'zoning': 'FI2'}",True,Are liquid fertilizer manufacturing allowed in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""liquid fertilizer manufacturing"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'liquid fertilizer manufacturing', 'zoning': 'FI2'}",True,Are liquid fertilizer manufacturing permitted in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""liquid fertilizer manufacturing"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'liquid fertilizer manufacturing', 'zoning': 'FI3'}",True,Are liquid fertilizer manufacturing allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""liquid fertilizer manufacturing"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'liquid fertilizer manufacturing', 'zoning': 'FI3'}",True,Are liquid fertilizer manufacturing permitted in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""carpet manufacturing"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'carpet manufacturing', 'zoning': 'FI2'}",True,Are carpet manufacturing allowed in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""carpet manufacturing"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'carpet manufacturing', 'zoning': 'FI2'}",True,Are carpet manufacturing permitted in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""carpet manufacturing"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'carpet manufacturing', 'zoning': 'FI3'}",True,Are carpet manufacturing allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""carpet manufacturing"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'carpet manufacturing', 'zoning': 'FI3'}",True,Are carpet manufacturing permitted in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""monument works"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'monument works', 'zoning': 'FI2'}",True,Are monument works allowed in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""monument works"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'monument works', 'zoning': 'FI2'}",True,Are monument works permitted in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""monument works"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'monument works', 'zoning': 'FI3'}",True,Are monument works allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""monument works"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'monument works', 'zoning': 'FI3'}",True,Are monument works permitted in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""regional recycling center"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'regional recycling center', 'zoning': 'FI2'}",True,Are regional recycling center allowed in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""regional recycling center"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'regional recycling center', 'zoning': 'FI2'}",True,Are regional recycling center permitted in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""regional recycling center"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'regional recycling center', 'zoning': 'FI3'}",True,Are regional recycling center allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""regional recycling center"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'regional recycling center', 'zoning': 'FI3'}",True,Are regional recycling center permitted in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""auto-dismantling yards"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'auto-dismantling yards', 'zoning': 'FI3'}",True,Are auto-dismantling yards allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""auto-dismantling yards"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'auto-dismantling yards', 'zoning': 'FI3'}",True,Are auto-dismantling yards permitted in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""alcohol manufacturing"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'alcohol manufacturing', 'zoning': 'FI3'}",True,Are alcohol manufacturing allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""alcohol manufacturing"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'alcohol manufacturing', 'zoning': 'FI3'}",True,Are alcohol manufacturing permitted in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""cotton gins"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'cotton gins', 'zoning': 'FI3'}",True,Are cotton gins allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""cotton gins"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'cotton gins', 'zoning': 'FI3'}",True,Are cotton gins permitted in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""paper manufacturing"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'paper manufacturing', 'zoning': 'FI3'}",True,Are paper manufacturing allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""paper manufacturing"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'paper manufacturing', 'zoning': 'FI3'}",True,Are paper manufacturing permitted in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""quarries"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'quarries', 'zoning': 'FI3'}",True,Are quarries allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""quarries"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'quarries', 'zoning': 'FI3'}",True,Are quarries permitted in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""salt works"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'salt works', 'zoning': 'FI3'}",True,Are salt works allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""salt works"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'salt works', 'zoning': 'FI3'}",True,Are salt works permitted in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""petroleum refining"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'petroleum refining', 'zoning': 'FI3'}",True,Are petroleum refining allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""petroleum refining"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'petroleum refining', 'zoning': 'FI3'}",True,Are petroleum refining permitted in a FI3 zoning district?
"
ASK {
        ?zoning :permitsUse ""group care facilities"" .
}
",template_use_1var_yn_answer,{'use': 'group care facilities'},True,Are group care facilities permitted?
"
ASK {
        ?zoning :permitsUse ""group care facilities"" .
}
",template_use_1var_yn_answer,{'use': 'group care facilities'},True,Are group care facilities allowed?
"
ASK {
        ?zoning :permitsUse ""dry cleaning plants"" .
}
",template_use_1var_yn_answer,{'use': 'dry cleaning plants'},True,Are dry cleaning plants permitted?
"
ASK {
        ?zoning :permitsUse ""dry cleaning plants"" .
}
",template_use_1var_yn_answer,{'use': 'dry cleaning plants'},True,Are dry cleaning plants allowed?
"
ASK {
        ?zoning :permitsUse ""community commercial centers (including wholesale and retail sales)"" .
}
",template_use_1var_yn_answer,{'use': 'community commercial centers (including wholesale and retail sales)'},True,Are community commercial centers (including wholesale and retail sales) permitted?
"
ASK {
        ?zoning :permitsUse ""community commercial centers (including wholesale and retail sales)"" .
}
",template_use_1var_yn_answer,{'use': 'community commercial centers (including wholesale and retail sales)'},True,Are community commercial centers (including wholesale and retail sales) allowed?
"
ASK {
        ?zoning :permitsUse ""manufacture and finishing"" .
}
",template_use_1var_yn_answer,{'use': 'manufacture and finishing'},True,Are manufacture and finishing permitted?
"
ASK {
        ?zoning :permitsUse ""manufacture and finishing"" .
}
",template_use_1var_yn_answer,{'use': 'manufacture and finishing'},True,Are manufacture and finishing allowed?
"
ASK {
        ?zoning :permitsUse ""stadiums and arenas"" .
}
",template_use_1var_yn_answer,{'use': 'stadiums and arenas'},True,Are stadiums and arenas permitted?
"
ASK {
        ?zoning :permitsUse ""stadiums and arenas"" .
}
",template_use_1var_yn_answer,{'use': 'stadiums and arenas'},True,Are stadiums and arenas allowed?
"
ASK {
        ?zoning :permitsUse ""building material supply sales (wholesale and retail)"" .
}
",template_use_1var_yn_answer,{'use': 'building material supply sales (wholesale and retail)'},True,Are building material supply sales (wholesale and retail) permitted?
"
ASK {
        ?zoning :permitsUse ""building material supply sales (wholesale and retail)"" .
}
",template_use_1var_yn_answer,{'use': 'building material supply sales (wholesale and retail)'},True,Are building material supply sales (wholesale and retail) allowed?
"
ASK {
        ?zoning :permitsUse ""alcohol manufacturing"" .
}
",template_use_1var_yn_answer,{'use': 'alcohol manufacturing'},True,Are alcohol manufacturing permitted?
"
ASK {
        ?zoning :permitsUse ""alcohol manufacturing"" .
}
",template_use_1var_yn_answer,{'use': 'alcohol manufacturing'},True,Are alcohol manufacturing allowed?
"
ASK {
        ?zoning :permitsUse ""minor automotive repair"" .
}
",template_use_1var_yn_answer,{'use': 'minor automotive repair'},True,Are minor automotive repair permitted?
"
ASK {
        ?zoning :permitsUse ""minor automotive repair"" .
}
",template_use_1var_yn_answer,{'use': 'minor automotive repair'},True,Are minor automotive repair allowed?
"
ASK {
        ?zoning :permitsUse ""self-storage warehouses"" .
}
",template_use_1var_yn_answer,{'use': 'self-storage warehouses'},True,Are self-storage warehouses permitted?
"
ASK {
        ?zoning :permitsUse ""self-storage warehouses"" .
}
",template_use_1var_yn_answer,{'use': 'self-storage warehouses'},True,Are self-storage warehouses allowed?
"
ASK {
        ?zoning :permitsUse ""commercial printing and publishing"" .
}
",template_use_1var_yn_answer,{'use': 'commercial printing and publishing'},True,Are commercial printing and publishing permitted?
"
ASK {
        ?zoning :permitsUse ""commercial printing and publishing"" .
}
",template_use_1var_yn_answer,{'use': 'commercial printing and publishing'},True,Are commercial printing and publishing allowed?
"
ASK {
        ?zoning :permitsUse ""places of religious worship"" .
}
",template_use_1var_yn_answer,{'use': 'places of religious worship'},True,Are places of religious worship permitted?
"
ASK {
        ?zoning :permitsUse ""places of religious worship"" .
}
",template_use_1var_yn_answer,{'use': 'places of religious worship'},True,Are places of religious worship allowed?
"
ASK {
        ?zoning :permitsUse ""family and group day care facilities"" .
}
",template_use_1var_yn_answer,{'use': 'family and group day care facilities'},True,Are family and group day care facilities permitted?
"
ASK {
        ?zoning :permitsUse ""family and group day care facilities"" .
}
",template_use_1var_yn_answer,{'use': 'family and group day care facilities'},True,Are family and group day care facilities allowed?
"
ASK {
        ?zoning :permitsUse ""commercial bakeries"" .
}
",template_use_1var_yn_answer,{'use': 'commercial bakeries'},True,Are commercial bakeries permitted?
"
ASK {
        ?zoning :permitsUse ""commercial bakeries"" .
}
",template_use_1var_yn_answer,{'use': 'commercial bakeries'},True,Are commercial bakeries allowed?
"
ASK {
        ?zoning :permitsUse ""temporary buildings"" .
}
",template_use_1var_yn_answer,{'use': 'temporary buildings'},True,Are temporary buildings permitted?
"
ASK {
        ?zoning :permitsUse ""temporary buildings"" .
}
",template_use_1var_yn_answer,{'use': 'temporary buildings'},True,Are temporary buildings allowed?
"
ASK {
        ?zoning :permitsUse ""public libraries"" .
}
",template_use_1var_yn_answer,{'use': 'public libraries'},True,Are public libraries permitted?
"
ASK {
        ?zoning :permitsUse ""public libraries"" .
}
",template_use_1var_yn_answer,{'use': 'public libraries'},True,Are public libraries allowed?
"
ASK {
        ?zoning :permitsUse ""publicly owned and operated parks"" .
}
",template_use_1var_yn_answer,{'use': 'publicly owned and operated parks'},True,Are publicly owned and operated parks permitted?
"
ASK {
        ?zoning :permitsUse ""publicly owned and operated parks"" .
}
",template_use_1var_yn_answer,{'use': 'publicly owned and operated parks'},True,Are publicly owned and operated parks allowed?
"
ASK {
        ?zoning :permitsUse ""storage yards"" .
}
",template_use_1var_yn_answer,{'use': 'storage yards'},True,Are storage yards permitted?
"
ASK {
        ?zoning :permitsUse ""storage yards"" .
}
",template_use_1var_yn_answer,{'use': 'storage yards'},True,Are storage yards allowed?
"
ASK {
        ?zoning :permitsUse ""petroleum refining"" .
}
",template_use_1var_yn_answer,{'use': 'petroleum refining'},True,Are petroleum refining permitted?
"
ASK {
        ?zoning :permitsUse ""petroleum refining"" .
}
",template_use_1var_yn_answer,{'use': 'petroleum refining'},True,Are petroleum refining allowed?
"
ASK {
        ?zoning :permitsUse ""libraries"" .
}
",template_use_1var_yn_answer,{'use': 'libraries'},True,Are libraries permitted?
"
ASK {
        ?zoning :permitsUse ""libraries"" .
}
",template_use_1var_yn_answer,{'use': 'libraries'},True,Are libraries allowed?
"
ASK {
        ?zoning :permitsUse ""wood products manufacturing and finishing"" .
}
",template_use_1var_yn_answer,{'use': 'wood products manufacturing and finishing'},True,Are wood products manufacturing and finishing permitted?
"
ASK {
        ?zoning :permitsUse ""wood products manufacturing and finishing"" .
}
",template_use_1var_yn_answer,{'use': 'wood products manufacturing and finishing'},True,Are wood products manufacturing and finishing allowed?
"
ASK {
        ?zoning :permitsUse ""taverns and cocktail lounges"" .
}
",template_use_1var_yn_answer,{'use': 'taverns and cocktail lounges'},True,Are taverns and cocktail lounges permitted?
"
ASK {
        ?zoning :permitsUse ""taverns and cocktail lounges"" .
}
",template_use_1var_yn_answer,{'use': 'taverns and cocktail lounges'},True,Are taverns and cocktail lounges allowed?
"
ASK {
        ?zoning :permitsUse ""small metal products design, casting, fabricating, and processing"" .
}
",template_use_1var_yn_answer,"{'use': 'small metal products design, casting, fabricating, and processing'}",True,"Are small metal products design, casting, fabricating, and processing permitted?"
"
ASK {
        ?zoning :permitsUse ""small metal products design, casting, fabricating, and processing"" .
}
",template_use_1var_yn_answer,"{'use': 'small metal products design, casting, fabricating, and processing'}",True,"Are small metal products design, casting, fabricating, and processing allowed?"
"
ASK {
        ?zoning :permitsUse ""cotton gins"" .
}
",template_use_1var_yn_answer,{'use': 'cotton gins'},True,Are cotton gins permitted?
"
ASK {
        ?zoning :permitsUse ""cotton gins"" .
}
",template_use_1var_yn_answer,{'use': 'cotton gins'},True,Are cotton gins allowed?
"
ASK {
        ?zoning :permitsUse ""monument works"" .
}
",template_use_1var_yn_answer,{'use': 'monument works'},True,Are monument works permitted?
"
ASK {
        ?zoning :permitsUse ""monument works"" .
}
",template_use_1var_yn_answer,{'use': 'monument works'},True,Are monument works allowed?
"
ASK {
        ?zoning :permitsUse ""physical fitness centers"" .
}
",template_use_1var_yn_answer,{'use': 'physical fitness centers'},True,Are physical fitness centers permitted?
"
ASK {
        ?zoning :permitsUse ""physical fitness centers"" .
}
",template_use_1var_yn_answer,{'use': 'physical fitness centers'},True,Are physical fitness centers allowed?
"
ASK {
        ?zoning :permitsUse ""auto body shops"" .
}
",template_use_1var_yn_answer,{'use': 'auto body shops'},True,Are auto body shops permitted?
"
ASK {
        ?zoning :permitsUse ""auto body shops"" .
}
",template_use_1var_yn_answer,{'use': 'auto body shops'},True,Are auto body shops allowed?
"
ASK {
        ?zoning :permitsUse ""business services"" .
}
",template_use_1var_yn_answer,{'use': 'business services'},True,Are business services permitted?
"
ASK {
        ?zoning :permitsUse ""business services"" .
}
",template_use_1var_yn_answer,{'use': 'business services'},True,Are business services allowed?
"
ASK {
        ?zoning :permitsUse ""buildings accessory to the permitted uses (including private garages and accessory living quarters)"" .
}
",template_use_1var_yn_answer,{'use': 'buildings accessory to the permitted uses (including private garages and accessory living quarters)'},True,Are buildings accessory to the permitted uses (including private garages and accessory living quarters) permitted?
"
ASK {
        ?zoning :permitsUse ""buildings accessory to the permitted uses (including private garages and accessory living quarters)"" .
}
",template_use_1var_yn_answer,{'use': 'buildings accessory to the permitted uses (including private garages and accessory living quarters)'},True,Are buildings accessory to the permitted uses (including private garages and accessory living quarters) allowed?
"
ASK {
        ?zoning :permitsUse ""regional recycling center"" .
}
",template_use_1var_yn_answer,{'use': 'regional recycling center'},True,Are regional recycling center permitted?
"
ASK {
        ?zoning :permitsUse ""regional recycling center"" .
}
",template_use_1var_yn_answer,{'use': 'regional recycling center'},True,Are regional recycling center allowed?
"
ASK {
        ?zoning :permitsUse ""research or testing laboratories"" .
}
",template_use_1var_yn_answer,{'use': 'research or testing laboratories'},True,Are research or testing laboratories permitted?
"
ASK {
        ?zoning :permitsUse ""research or testing laboratories"" .
}
",template_use_1var_yn_answer,{'use': 'research or testing laboratories'},True,Are research or testing laboratories allowed?
"
ASK {
        ?zoning :permitsUse ""public and governmental services"" .
}
",template_use_1var_yn_answer,{'use': 'public and governmental services'},True,Are public and governmental services permitted?
"
ASK {
        ?zoning :permitsUse ""public and governmental services"" .
}
",template_use_1var_yn_answer,{'use': 'public and governmental services'},True,Are public and governmental services allowed?
"
ASK {
        ?zoning :permitsUse ""convenience and neighborhood commercial centers (excluding wholesale sales)"" .
}
",template_use_1var_yn_answer,{'use': 'convenience and neighborhood commercial centers (excluding wholesale sales)'},True,Are convenience and neighborhood commercial centers (excluding wholesale sales) permitted?
"
ASK {
        ?zoning :permitsUse ""convenience and neighborhood commercial centers (excluding wholesale sales)"" .
}
",template_use_1var_yn_answer,{'use': 'convenience and neighborhood commercial centers (excluding wholesale sales)'},True,Are convenience and neighborhood commercial centers (excluding wholesale sales) allowed?
"
ASK {
        ?zoning :permitsUse ""furniture assembly"" .
}
",template_use_1var_yn_answer,{'use': 'furniture assembly'},True,Are furniture assembly permitted?
"
ASK {
        ?zoning :permitsUse ""furniture assembly"" .
}
",template_use_1var_yn_answer,{'use': 'furniture assembly'},True,Are furniture assembly allowed?
"
ASK {
        ?zoning :permitsUse ""automotive sales"" .
}
",template_use_1var_yn_answer,{'use': 'automotive sales'},True,Are automotive sales permitted?
"
ASK {
        ?zoning :permitsUse ""automotive sales"" .
}
",template_use_1var_yn_answer,{'use': 'automotive sales'},True,Are automotive sales allowed?
